,index,removed_stopword,removed_punctuation,Updated,w2v kmeans,w2v pca kmeans,w2v tfidf kmeans,w2v tfidf pca kmeans,w2v Hierarchical,w2v pca Hierarchical,w2v tfidf Hierarchical,Hw2v_tfidf_pca_euclidean_labels
290,290,"energy-efficient products environmental experts share trends energy-saving technol- ogies environmental regulations company-wide eco council working-level committees support devel- opment energy-efficient products. 2019, applied various energy-saving technologies products, including high-ef- ficiency compressor refrigerators high-efficiency heat exchanger air conditioners. result, able reduce annual energy consumption average 42% compared 2008. also established greenhouse gas emissions caused energy consumption product use stage major kpi. footnote: 1) scope data collection: 7 major product categories - refrigerators, air con- ditioners, washing machines, televisions, monitors, laptop computers mobile phones",energyefficient products environmental experts share trends energysaving technol ogies environmental regulations companywide eco council workinglevel committees support devel opment energyefficient products 2019 applied various energysaving technologies products including highef ficiency compressor refrigerators highefficiency heat exchanger air conditioners result able reduce annual energy consumption average 42 compared 2008 also established greenhouse gas emissions caused energy consumption product use stage major kpi footnote 1 scope data collection 7 major product categories  refrigerators air con ditioners washing machines televisions monitors laptop computers mobile phones, energyeffici product environment expert share trend energysav technol ogi environment regul companywid eco council workinglevel committe support devel opment energyeffici product 2019 appli variou energysav technolog product includ highef ficienc compressor refriger higheffici heat exchang air condition result abl reduc annual energi consumpt averag 42 compar 2008 also establish greenhous ga emiss caus energi consumpt product use stage major kpi footnot 1 scope data collect 7 major product categori  refriger air con dition wash machin televis monitor laptop comput mobil phone ,6,0,9,0,1,4,2,3
100,100,"main activities results 2019 achieved 92% renewable energy use rate united states, china, europe (aim reach 100% end 2020) received 2019 green power leadership award excellence united states environmental protection agency (epa) expanded use sustainable materials including renewable plastics, bioplastics, sustainably-sourced papers expanded application modular design products including bespoke refrigerator cube air purifier held educational sessions labor human rights hand international organizations including international organization migration (iom) held stakeholder engagement forum vietnam strengthen communication stakeholders developed released samsung data protection guidelines samsung knox platform 3.2 rated strong 27 30 categories gartners may 2019 report",main activities results 2019 achieved 92 renewable energy use rate united states china europe aim reach 100 end 2020 received 2019 green power leadership award excellence united states environmental protection agency epa expanded use sustainable materials including renewable plastics bioplastics sustainablysourced papers expanded application modular design products including bespoke refrigerator cube air purifier held educational sessions labor human rights hand international organizations including international organization migration iom held stakeholder engagement forum vietnam strengthen communication stakeholders developed released samsung data protection guidelines samsung knox platform 32 rated strong 27 30 categories gartners may 2019 report, main activ result 2019 achiev 92 renew energi use rate unit state china europ aim reach 100 end 2020 receiv 2019 green power leadership award excel unit state environment protect agenc epa expand use sustain materi includ renew plastic bioplast sustainablysourc paper expand applic modular design product includ bespok refriger cube air purifi held educ session labor human right hand intern organ includ intern organ migrat iom held stakehold engag forum vietnam strengthen commun stakehold develop releas samsung data protect guidelin samsung knox platform 32 rate strong 27 30 categori gartner may 2019 report ,0,0,4,9,1,9,5,0
628,628,"footnotes: 1) suppliers, excluding registered less one year(registration occurs annual basis), subject evaluation eight categories 2) compliance iso 14001 corresponding standards mandated standard supplier contract 3) certified rate comprehensively evaluated suppliers 4) included third-tier suppliers beginning 2018 5) duplicates included 6) 2019 program ends june 2020 7) accumulated since 2013",footnotes 1 suppliers excluding registered less one yearregistration occurs annual basis subject evaluation eight categories 2 compliance iso 14001 corresponding standards mandated standard supplier contract 3 certified rate comprehensively evaluated suppliers 4 included thirdtier suppliers beginning 2018 5 duplicates included 6 2019 program ends june 2020 7 accumulated since 2013, footnot 1 supplier exclud regist less one yearregistr occur annual basi subject evalu eight categori 2 complianc iso 14001 correspond standard mandat standard supplier contract 3 certifi rate comprehens evalu supplier 4 includ thirdtier supplier begin 2018 5 duplic includ 6 2019 program end june 2020 7 accumul sinc 2013 ,6,0,9,0,1,4,5,3
627,627,no. suppliers no. suppliers no. suppliers no. persons no. persons no. persons no. suppliers no. suppliers no. suppliers no. suppliers no. suppliers no. suppliers,no suppliers no suppliers no suppliers no persons no persons no persons no suppliers no suppliers no suppliers no suppliers no suppliers no suppliers, no supplier no supplier no supplier no person no person no person no supplier no supplier no supplier no supplier no supplier no supplier ,6,0,1,5,1,4,2,3
104,104,"paris agreement, signed paris december 2015, transition new climate system low-carbon model world economy began. august 2019, united nations intergovernmental panel climate change (ipcc) published 'special report climate change land'. report warned climate change impact biodiversity, human health food systems extent regions face crisis unprecedented scale. ipcc called urgent global response. samsung electronics taking action tackle issues climate change. identify related issues, analyze risks, establish implement counter-strategies. regularly discuss climate actions committees councils, manage greenhouse gas (ghg) emissions (scope 1 scope 2) worksites every month global environment, health, safety system (g-ehs). furthermore, working suppliers, samsung institute safety & environment related departments reduce indirect ghg emissions (scope 3).",paris agreement signed paris december 2015 transition new climate system lowcarbon model world economy began august 2019 united nations intergovernmental panel climate change ipcc published special report climate change land report warned climate change impact biodiversity human health food systems extent regions face crisis unprecedented scale ipcc called urgent global response samsung electronics taking action tackle issues climate change identify related issues analyze risks establish implement counterstrategies regularly discuss climate actions committees councils manage greenhouse gas ghg emissions scope 1 scope 2 worksites every month global environment health safety system gehs furthermore working suppliers samsung institute safety  environment related departments reduce indirect ghg emissions scope 3, pari agreement sign pari decemb 2015 transit new climat system lowcarbon model world economi began august 2019 unit nation intergovernment panel climat chang ipcc publish special report climat chang land report warn climat chang impact biodivers human health food system extent region face crisi unpreced scale ipcc call urgent global respons samsung electron take action tackl issu climat chang identifi relat issu analyz risk establish implement counterstrategi regularli discuss climat action committe council manag greenhous ga ghg emiss scope 1 scope 2 worksit everi month global environ health safeti system geh furthermor work supplier samsung institut safeti  environ relat depart reduc indirect ghg emiss scope 3 ,6,0,4,9,1,4,5,0
105,105,"governance samsung electronics management considers climate change important challenge. board directors top decision-making body receives regular reports issues related climate change. cfo, also serves chief risk officer (cro), operates risk councils chief executives various functions, environment, public affairs, legal, communications. environmental safety committee held every year review envi- ronmental management, climate change issues, response activities. respond climate change, operate company-wide council composed executives environmental sector. ghg management council held twice year oversees implementation ghg reduction projects. moreover, eco-council' held twice year establishes strategies energy-efficient products development.",governance samsung electronics management considers climate change important challenge board directors top decisionmaking body receives regular reports issues related climate change cfo also serves chief risk officer cro operates risk councils chief executives various functions environment public affairs legal communications environmental safety committee held every year review envi ronmental management climate change issues response activities respond climate change operate companywide council composed executives environmental sector ghg management council held twice year oversees implementation ghg reduction projects moreover ecocouncil held twice year establishes strategies energyefficient products development, govern samsung electron manag consid climat chang import challeng board director top decisionmak bodi receiv regular report issu relat climat chang cfo also serv chief risk offic cro oper risk council chief execut variou function environ public affair legal commun environment safeti committe held everi year review envi ronment manag climat chang issu respons activ respond climat chang oper companywid council compos execut environment sector ghg manag council held twice year overse implement ghg reduct project moreov ecocouncil held twice year establish strategi energyeffici product develop ,6,0,4,9,1,4,5,0
556,556,"local volunteer centers local community councils local community blogs (suwon, gumi gwangju worksites) yongin-hwaseong community blog",local volunteer centers local community councils local community blogs suwon gumi gwangju worksites yonginhwaseong community blog, local volunt center local commun council local commun blog suwon gumi gwangju worksit yonginhwaseong commun blog ,0,0,1,5,1,9,2,5
243,243,"6.3. 2030, improve water quality reducing pollution, eliminating dumping minimizing release hazardous chemicals materials, halving proportion untreated wastewater substantially increasing recycling safe reuse globally",63 2030 improve water quality reducing pollution eliminating dumping minimizing release hazardous chemicals materials halving proportion untreated wastewater substantially increasing recycling safe reuse globally, 63 2030 improv water qualiti reduc pollut elimin dump minim releas hazard chemic materi halv proport untreat wastewat substanti increas recycl safe reus global ,0,0,5,1,1,9,0,4
240,240,"committee continue operate independent position without interruption ensure compliance becomes deeply rooted samsung's culture. samsung electronics secure advanced compliance moni- toring systems global company, thoroughly manage risk compliance violations company top management. samsung electronics continue put best efforts implement core value, integrity management, become company trusted respected society.",committee continue operate independent position without interruption ensure compliance becomes deeply rooted samsungs culture samsung electronics secure advanced compliance moni toring systems global company thoroughly manage risk compliance violations company top management samsung electronics continue put best efforts implement core value integrity management become company trusted respected society, committe continu oper independ posit without interrupt ensur complianc becom deepli root samsung cultur samsung electron secur advanc complianc moni tore system global compani thoroughli manag risk complianc violat compani top manag samsung electron continu put best effort implement core valu integr manag becom compani trust respect societi ,6,0,1,0,1,4,2,3
239,239,"committee may review samsung electronics' external sponsorship expenditures internal transactions, present opinions company, board directors, committee detects risk com- pliance violation top management, may notify board directors provide opinions. commit- tee may also make appropriate recommendations regarding establishment compliance monitoring poli- cies plans, compliance monitoring programs system improvements. addition, committee directly receive reports compliance violations top management, risk compliance violation detected, committee may require compliance officer investigate, report results investigation, take cor- rective measures. committee believes investigation inadequate, may conduct investigation matter. committee holds regular meetings month, additional meetings necessary, actively operating receiving reports compliance violations via committees website.",committee may review samsung electronics external sponsorship expenditures internal transactions present opinions company board directors committee detects risk com pliance violation top management may notify board directors provide opinions commit tee may also make appropriate recommendations regarding establishment compliance monitoring poli cies plans compliance monitoring programs system improvements addition committee directly receive reports compliance violations top management risk compliance violation detected committee may require compliance officer investigate report results investigation take cor rective measures committee believes investigation inadequate may conduct investigation matter committee holds regular meetings month additional meetings necessary actively operating receiving reports compliance violations via committees website, committe may review samsung electron extern sponsorship expenditur intern transact present opinion compani board director committe detect risk com plianc violat top manag may notifi board director provid opinion commit tee may also make appropri recommend regard establish complianc monitor poli cie plan complianc monitor program system improv addit committe directli receiv report complianc violat top manag risk complianc violat detect committe may requir complianc offic investig report result investig take cor rectiv measur committe believ investig inadequ may conduct investig matter committe hold regular meet month addit meet necessari activ oper receiv report complianc violat via committe websit ,6,0,9,9,1,4,5,0
621,621,"product development manufacturing quality assurance & environment, health safety sales & marketing others south korea southeast asia & southwest asia & japan china north america & central latin america europe middle east africa staff managers executives",product development manufacturing quality assurance  environment health safety sales  marketing others south korea southeast asia  southwest asia  japan china north america  central latin america europe middle east africa staff managers executives, product develop manufactur qualiti assur  environ health safeti sale  market other south korea southeast asia  southwest asia  japan china north america  central latin america europ middl east africa staff manag execut ,6,0,5,1,1,4,0,4
